"interaction","name","selected","shared interaction","shared name"
"interacts with","KRAS (interacts with)  HSDL2","false","interacts with","KRAS (interacts with)  HSDL2"
"interacts with","KRAS (interacts with)  MT-CO3","false","interacts with","KRAS (interacts with)  MT-CO3"
"interacts with","KRAS (interacts with)  EMC8","false","interacts with","KRAS (interacts with)  EMC8"
"interacts with","KRAS (interacts with)  SLC35A2","false","interacts with","KRAS (interacts with)  SLC35A2"
"interacts with","KRAS (interacts with)  ZDHHC18","false","interacts with","KRAS (interacts with)  ZDHHC18"
"interacts with","KRAS (interacts with)  RAB6A","false","interacts with","KRAS (interacts with)  RAB6A"
"interacts with","KRAS (interacts with)  DDX47","false","interacts with","KRAS (interacts with)  DDX47"
"interacts with","KRAS (interacts with)  RAB21","false","interacts with","KRAS (interacts with)  RAB21"
"interacts with","KRAS (interacts with)  JPH1","false","interacts with","KRAS (interacts with)  JPH1"
"interacts with","KRAS (interacts with)  DIRAS3","false","interacts with","KRAS (interacts with)  DIRAS3"
"interacts with","KRAS (interacts with)  MPZL1","false","interacts with","KRAS (interacts with)  MPZL1"
"interacts with","KRAS (interacts with)  ETFA","false","interacts with","KRAS (interacts with)  ETFA"
"interacts with","KRAS (interacts with)  RHOD","false","interacts with","KRAS (interacts with)  RHOD"
"interacts with","KRAS (interacts with)  Q9HC56","false","interacts with","KRAS (interacts with)  Q9HC56"
"interacts with","KRAS (interacts with)  UBE2J1","false","interacts with","KRAS (interacts with)  UBE2J1"
"interacts with","KRAS (interacts with)  CDK4","false","interacts with","KRAS (interacts with)  CDK4"
"interacts with","KRAS (interacts with)  PLEKHO1","false","interacts with","KRAS (interacts with)  PLEKHO1"
"interacts with","KRAS (interacts with)  NDUFAF2","false","interacts with","KRAS (interacts with)  NDUFAF2"
"interacts with","KRAS (interacts with)  SLC23A2","false","interacts with","KRAS (interacts with)  SLC23A2"
"interacts with","KRAS (interacts with)  NSDHL","false","interacts with","KRAS (interacts with)  NSDHL"
"interacts with","KRAS (interacts with)  ACSL4","false","interacts with","KRAS (interacts with)  ACSL4"
